            column_name            |                 table_name                 
 user_id                           | user_incentive_targeting
 user_id                           | user_livestream_preferences
 user_id                           | user_loyalty_preferences
 user_id                           | user_notifications_hub_state
 user_id                           | user_object_action
 user_id                           | user_passwords_history
 user_id                           | user_permission_action
 user_id                           | user_permissions
 user_id                           | user_preferences
 user_id                           | user_profiles
 user_id                           | user_state
 user_id                           | user_strikes
 user_id                           | users_to_be_synchronized_with_userclouds
 user_id                           | validated_addresses
 user_id                           | wallet_entry
 user_id                           | zendesk_users
 user_permission_id                | user_permission_action
 user_state_id                     | seller_application_states
 verification_request_id           | verification_request_line_items
 verification_submission_id        | verification_requests
 video_id                          | product_videos
 video_id                          | stories
 violation_id                      | auto_action_state
 violation_id                      | ts_actions
 violation_id                      | ts_email_template
 winner_id                         | auction_info
 winner_item_id                    | raffle_drop_entries
 zendesk_id                        | appeals
 zendesk_id                        | ts_actions
 zendesk_id                        | ts_tag_action
 zendesk_id                        | user_reports
 zendesk_user_id                   | zendesk_conversations
(466 rows)

