                 table_name                 |            column_name
 seller_livestream_shipping_settings        | pickup_details_id
 seller_livestream_shipping_settings        | user_id
 seller_loyalty_config                      | seller_user_id
 seller_loyalty_program                     | seller_user_id
 seller_notes                               | buyer_id
 seller_notes                               | seller_id
 seller_order_cancellation_reasons          | order_id
 seller_promotions                          | seller_id
 seller_referral_commissions                | referred_id
 seller_referral_commissions                | referrer_id
 seller_review_response                     | buyer_id
 seller_review_response                     | rating_answer_id
 seller_review_response                     | seller_id
 seller_review_response                     | shipment_id
 seller_taxes                               | user_id
 seller_weekly_early_payout_earnings        | user_id
 share_url                                  | sender_id
 sharing                                    | sender_id
 shipment_channels                          | shipment_id
 shipment_insurance_info                    | shipment_id
 shipment_items                             | external_entity_id
 shipment_items                             | product_category_id
 shipment_items                             | shipment_id
 shipment_items                             | shipping_profile_id
 shipment_metadata                          | shipment_id
 shipments                                  | bundle_config_shipping_profile_id
 shipments                                  | local_pickup_request_id
 shipments                                  | new_shipment_id
 shipments                                  | old_shipment_id
 shipments                                  | original_shipment_id
 shipments                                  | recipient_id
 shipments                                  | return_address_id
 shipments                                  | seller_id
 shipments                                  | shipping_manifest_id
 shipping_adjustment_line_items             | shipment_id
 shipping_adjustment_line_items             | shipping_adjustment_id
 shipping_adjustment_line_items             | user_id
 shipping_adjustments                       | original_shipment_id
 shipping_adjustments                       | platform_charge_id
 shipping_adjustments                       | shipment_id
 shipping_adjustments                       | user_id
 shipping_credit_usages                     | order_id
 shipping_credit_usages                     | shipping_credit_id
 shipping_credit_usages                     | user_id
 shipping_credits                           | pinned_marketplace_shipment_id
 shipping_credits                           | user_id
 shipping_insurance_claims                  | shipment_id
 shipping_insurance_claims                  | user_id
 shipping_labels                            | external_entity_id
 shipping_profile_usages                    | shipping_profile_id
 shipping_profile_usages                    | user_id
 shipping_profiles                          | original_shipping_profile_id
 shipping_profiles                          | previous_shipping_profile_id
 shipping_profiles                          | user_id
 shipping_users                             | user_id
 stackable_actions                          | ts_action_id
 stackable_actions                          | user_id
 statement_line_item                        | parent_line_item_id
 statement_line_item                        | statement_id
 stories                                    | user_id
 stories                                    | video_id
 story_listings                             | listing_id
 story_listings                             | story_id
 story_user_actions                         | story_id
 story_user_actions                         | user_id
 support_report_reasons                     | parent_id
 support_tickets                            | report_reason_id
 support_tickets                            | reporter_id
 survey_questions                           | survey_id
 survey_user_answers                        | question_id
 survey_user_answers                        | selected_choice_id
 survey_user_answers                        | survey_id
 survey_user_answers                        | user_id
 tax_input_items                            | tax_transaction_id
 tax_line_items                             | input_line_item_id
 tax_line_items                             | tax_transaction_id
 taxonomy_cron_job                          | execute_after_id
 team_member_invites                        | accepted_user_id
 team_member_invites                        | owner_id
 team_members                               | member_id
 team_members                               | owner_id
 time_listing_events                        | listing_id
 tips                                       | invoice_id
 tips                                       | ledger_transaction_id
 tips                                       | payment_id
 tips                                       | recipient_id
 tips                                       | sender_id
 ts_actions                                 | action_zendesk_id
 ts_actions                                 | order_item_id
 ts_actions                                 | purge_id
 ts_actions                                 | user_id
 ts_actions                                 | violation_id
 ts_actions                                 | zendesk_id
 ts_addresses                               | address_id
 ts_addresses                               | user_id
 ts_email_template                          | violation_id
 ts_fraud_guardrail_exceptions              | user_id
